id	japanese	translation
DB_Skills_100_message1	の燃える闘志が奇跡を起こす！	's burning fighting spirit works a miracle!
DB_Skills_100_message2	ドコンジョウの魔法が発動！	The Guts spell activates!
DB_Skills_102_message1	はダークヒールの魔法を発動した！	 casts the Dark Heal spell!
DB_Skills_103_message1	はダークバリアの魔法を発動した！	 casts the Dark Barrier spell!
DB_Skills_103_message2	魔法を吸い込む穴が現れた！	A hole that devours magic appears!
DB_Skills_104_message1	はダークウィングの魔法を発動した！	 casts the Dark Wing spell!
DB_Skills_104_message2	ピケピケの素早さが２倍になる！	Pikepike's agility doubles!
DB_Skills_105_message1	はダークブリザードを発動！	 casts Dark Blizzard!
DB_Skills_105_message2	漆黒のふぶきが、ウィンたちを襲う！	A jet-black blizzard assails the party!
DB_Skills_106_message1	はダークファイアの魔法を発動！	 casts the Dark Fire spell!
DB_Skills_106_message2	暗く燃え盛る炎が　ウィンたちを襲う！	Dark, blazing flames assault the party!
DB_Skills_107_message1	はダークサンダーの魔法を発動！	 casts the Dark Thunder spell!
DB_Skills_107_message2	黒いいなずまが　ウィンたちに降り注ぐ！	Black lightning rains down upon the party!
DB_Skills_108_message1	はダークフレイムの魔法を発動！	 casts the Dark Flame spell!
DB_Skills_108_message2	目の前が何も見えないまま焼かれる！！	You are burned, unable to see anything!!
DB_Skills_109_message1	は黒くかがやく光線を放った！	 fires a darkly shining beam!
DB_Skills_10_message1	は%1を唱えた！	 chants %1!
DB_Skills_110_message1	はツナミの魔法を発動した！	 casts the Tsunami spell!
DB_Skills_110_message2	しかし、ミケーネブリザードで相殺される！！	But it is canceled out by Mycenae Blizzard!!
DB_Skills_111_message1	はミケーネビームを放った！！	 fires the Mycenae Beam!!
DB_Skills_111_message2	ナガレは防いだが、すごい衝撃だ！！	Nagare blocks it, but the impact is immense!!
DB_Skills_112_message1	がミケーネブリザードを発動！！	 activates Mycenae Blizzard!!
DB_Skills_112_message2	しかし、ナガレはツナミを放ち、相殺した！！	But Nagare unleashes a Tsunami and cancels it out!!
DB_Skills_113_message1	『はあああああ！！』	"""Haaaaaah!!"""
DB_Skills_113_message2	ミケーネは鉄のムチを振り回した！！	Mycenae swings an iron whip!!
DB_Skills_114_message1	『そこーーッ！！』	"""There—!!"""
DB_Skills_114_message2	ミケーネは鋭くムチをしならせた！！	Mycenae cracks her whip sharply!!
DB_Skills_115_message1	『足元がお留守だよ！！』	"""Your feet are wide open!!"""
DB_Skills_115_message2	鉄のムチが、ナガレの足元を狙う！！	The iron whip strikes at Nagare's feet!!
DB_Skills_116_message1	のミケーネバリア！！	's Mycenae Barrier!!
DB_Skills_116_message2	ミケーネの身体を氷の鎧が包み込む！！	An armor of ice envelops Mycenae!!
DB_Skills_118_message1	はホノオの足元を狙って振り回してきた！	 swings at Hono's feet!
DB_Skills_118_message2	ホノオはタイミング合わせてジャンプした！	Hono times it and jumps!
DB_Skills_119_message1	はホノオの頭部を狙った！！	 aims at Hono's head!!
DB_Skills_11_message1	は走り込みながら剣を大きく薙ぎ払った！	 charges in, sweeping its sword in a wide arc!
DB_Skills_120_message1	は素早く武器を振り回した！	 whirls its weapon swiftly!
DB_Skills_121_message1	は気合を溜めて武器を振り下ろした！	 focuses its spirit and brings its weapon down!
DB_Skills_122_message1	『隙あり…！！』	"""An opening...!!"""
DB_Skills_122_message2	ホノオの反応が間に合わない！	Hono can't react in time!
DB_Skills_124_message1	はダフィールファイアの魔法を発動！	 casts the Dafill Fire spell!
DB_Skills_124_message2	巨大な火の玉が襲ってくる…！！	A colossal fireball comes hurtling...!!
DB_Skills_125_message1	はダフィールファイアストームを発動！	 casts Dafill Firestorm!
DB_Skills_125_message2	何もかもを焼き尽くす熱風が襲ってくる…！！	A scorching wind that burns all comes sweeping in...!!
DB_Skills_126_message1	は両手の燃える剣で攻撃した！	 attacks with twin flaming swords!
DB_Skills_127_message1	はふわりとジャンプした！	 leaps lightly!
DB_Skills_127_message2	そして怒涛の連続斬りを放った！！	Then unleashes a torrent of slashes!!
DB_Skills_128_message1	はフェイントで敵を惑わして突いた！	 feints to confuse the enemy, then thrusts!
DB_Skills_129_message1	はこの一撃に賭けた…　『流し斬り！』	" stakes everything on this strike... ""Flowing Slash!"""
DB_Skills_12_message1	は一瞬の隙をついて敵の懐に飛び込んだ！	 seizes a momentary opening and closes in!
DB_Skills_130_message1	はダフィールファイアの魔法を発動！	 casts the Dafill Fire spell!
DB_Skills_130_message2	ピピン『バクハツ！！』　相殺で威力が弱まる！！	"Pipin: ""Explosion!!"" The clash weakens its power!!"
DB_Skills_131_message1	はダフィールファイアストームを発動！	 casts Dafill Firestorm!
DB_Skills_131_message2	ピピン『ツナミ！！』　相殺で威力が弱まった！！	"Pipin: ""Tsunami!!"" The clash weakens its power!!"
DB_Skills_132_message1	はダークヒールの魔法を発動した！	 casts the Dark Heal spell!
DB_Skills_133_message1	は水の紋章を高くかかげた！	 raises the Water Crest high!
DB_Skills_133_message2	テッペキの魔法！見えない壁がピピンたちを守る！	Iron Wall! An invisible barrier shields Pipin's group!
DB_Skills_134_message1	『マンキンタン！！』	"""Mankintan!!"""
DB_Skills_134_message2	マンキンタンの魔法が発動！！	The Mankintan spell activates!!
DB_Skills_135_message1	はダークヒールの魔法を発動した！	 casts the Dark Heal spell!
DB_Skills_136_message1	がミケーネブリザードを発動！！	 activates Mycenae Blizzard!!
DB_Skills_136_message2	しかし、ピピンはツナミを放ち、相殺した！！	But Pipin unleashes a Tsunami and cancels it out!!
DB_Skills_137_message1	のミケーネバリア！！	's Mycenae Barrier!!
DB_Skills_137_message2	ダフィールの身体を氷の鎧が包み込む！！	An armor of ice envelops Dafill!!
DB_Skills_138_message1	はダークサンダーの魔法を発動！	 casts the Dark Thunder spell!
DB_Skills_138_message2	黒いいなずまが　ウィンたちに降り注ぐ！	Black lightning rains down upon the party!
DB_Skills_139_message1	はダークバリアの魔法を発動した！	 casts the Dark Barrier spell!
DB_Skills_139_message2	魔法を吸い込む穴が現れた！	A hole that devours magic appears!
DB_Skills_13_message1	はウロチョロと周りを走り回った！	 scurries around restlessly!
DB_Skills_140_message1	はベノムシャワーを発動！	 activates Venom Shower!
DB_Skills_140_message2	毒の液体が霧状になって襲い来る！！	Venomous liquid attacks in a mist!!
DB_Skills_141_message1	はダフィールフレアーを発動！	 activates Dafill Flare!
DB_Skills_141_message2	突然の爆発に防ぐ手段がない…！！	There is no way to guard against the sudden explosion...!!
DB_Skills_142_message1	はダークストームを発動！	 activates Dark Storm!
DB_Skills_142_message2	何も見えないまま闇の刃に切り刻まれる…！！	Unable to see, you are slashed by blades of darkness...!!
DB_Skills_143_message1	の凄まじい連続攻撃！！	's ferocious combo attack!!
DB_Skills_144_message1	は巨大な尾で攻撃してきた！！	 attacks with its colossal tail!!
DB_Skills_144_message2	ガードの上から吹き飛ばされる…！！	You are blasted away, guard and all...!!
DB_Skills_146_message1	はカマイタチを発動！さらに！	 activates Kamaitachi! And then!
DB_Skills_146_message2	ピピンがフェイント突きで攻撃した！！！	Pipin attacks with Feint Thrust!!!
DB_Skills_147_message1	『ウィン！カマカゼだ！！』	"""Win! Kamakaze!!"""
DB_Skills_147_message2	カマイタチとピピンの同時攻撃！！	A simultaneous strike by Kamaitachi and Pipin!!
DB_Skills_148_message1	はピピンの剣にイカヅチを放った！！	 strikes Pipin's sword with Thunderclap!!
DB_Skills_148_message2	ピピンの剣が稲妻の速度で敵を切り刻む！！	Pipin's blade, swift as lightning, carves into the enemy!!
DB_Skills_149_message1	がふわりと宙に浮いた！	 floats lightly into the air!
DB_Skills_149_message2	イカヅチの剣が敵を切り刻む！！	The Thunderclap blade carves into the enemy!!
DB_Skills_14_message1	は勢いよく噛みついてきた！	 bites hard!
DB_Skills_150_message1	は頭上に雷雲を呼び出した…！！	 summons a storm cloud overhead...!!
DB_Skills_150_message2	ツナミに合わせてイカヅチが落ちる！！	Thunderclap strikes in tandem with the Tsunami!!
DB_Skills_151_message1	『ツナミ…！』敵を水浸しにした！	"""Tsunami...!"" The enemy is drenched!"
DB_Skills_151_message2	そこへウィンのイカヅチが落ちる…！！	Then Win's Thunderclap comes crashing down...!!
DB_Skills_153_message1	はミケーネブリザードを発動した！！	 activates Mycenae Blizzard!!
DB_Skills_153_message2	とてつもない冷気が　ウィンたちを襲う！！	A tremendous chill assails the party!!
DB_Skills_154_message1	「最大出力よ…ッ！！」	"""Maximum output...!!"""
DB_Skills_154_message2	最大出力のミケーネブリザードが発動…！！	A maximum-output Mycenae Blizzard activates...!!
DB_Skills_155_message1	はダフィールファイアの魔法を発動！	 casts the Dafill Fire spell!
DB_Skills_155_message2	巨大な火の玉が飛んでくる…！！	A colossal fireball comes flying...!!
DB_Skills_156_message1	はダフィールファイアストームを発動！	 casts Dafill Firestorm!
DB_Skills_156_message2	猛烈な熱風がウィンたちを襲う…！！	A violent heat wave assails the party...!!
DB_Skills_157_message1	は鎌を振り回した！	 whirls a scythe!
DB_Skills_158_message1	は足元を狙って鎌を振り払ってきた！	 swings its scythe at your feet!
DB_Skills_159_message1	はツナミの魔法を発動した！！	 activates the Tsunami spell!!
DB_Skills_159_message2	突然巨大な津波が現れた…！！	A colossal tsunami suddenly appears...!!
DB_Skills_15_message1	は鋭い爪を振りかざした！	 raises sharp claws!
DB_Skills_160_message1	はハヤテの魔法を発動した！	 activates the Hayate spell!
DB_Skills_161_message1	はカマイタチの魔法を発動した！	 activates the Kamaitachi spell!
DB_Skills_161_message2	足元をカマイタチが襲う！	A Kamaitachi strikes at your feet!
DB_Skills_162_message1	はイカヅチの魔法を発動した！！	 activates the Thunderclap spell!!
DB_Skills_162_message2	巨大なイナズマが発生した…！！	A colossal bolt of lightning forms...!!
DB_Skills_163_message1	は猛毒の牙で噛みついてきた！	 bites with deadly-venom fangs!
DB_Skills_164_message1	はフェイントで敵を惑わして突いた！	 feints to confuse the enemy, then thrusts!
DB_Skills_165_message1	は走り込みながら刀を大きく薙ぎ払った！	 charges in, sweeping its blade in a wide arc!
DB_Skills_166_message1	は狂戦士の舞を踊った！	 dances the berserker dance!
DB_Skills_166_message2	味方全体の攻撃力が２倍にアップした！！	The whole party's attack power doubles!!
DB_Skills_168_message1	はソードブレイカーを発動！	 activates Sword Breaker!
DB_Skills_168_message2	短刀がこちらの武器を絡めとる！	A dagger entangles your weapon!
DB_Skills_169_message1	は懐に飛び込んできた！	 closes in!
DB_Skills_169_message2	腹部への攻撃だ！	An attack to the abdomen!
DB_Skills_16_message1	はウロチョロと周りを飛び回った！	 flits around restlessly!
DB_Skills_170_message1	は走り込んできた！！	 charges in!!
DB_Skills_170_message2	擦れ違いざま急所を狙ってくる！！	It aims for a vital spot as it passes!!
DB_Skills_171_message1	は懐に飛び込んできた！	 closes in!
DB_Skills_171_message2	目くらまし攻撃だ！	A blinding attack!
DB_Skills_172_message1	は身を隠した…　	 hides itself...
DB_Skills_172_message2	そして背後から襲い掛かってきた！！	Then strikes from behind!!
DB_Skills_173_message1	は　黒い風を　その身体にまとった…！	 wraps itself in a black wind...!
DB_Skills_174_message1	はヒールポーションを取り出した！	 pulls out a Heal Potion!
DB_Skills_174_message2	がぶ飲みしている！！	and gulps it down!!
DB_Skills_175_message1	は懐に飛び込んできた！	 closes in!
DB_Skills_175_message2	狙いはこちらの足元だ！！	The target is your feet!!
