id	japanese	translation
MAP5_e32_p0_3_c0	元気だよ	I'm fine
MAP5_e32_p0_3_c1	そうでもない	Not really
MAP5_e33_p0_4_c0	知ってる	I know
MAP5_e33_p0_4_c1	知らない	I don't know
MAP6_e15_p0_3_c0	休んでいく	Rest here
MAP6_e15_p0_3_c1	休まない	Don't rest
MAP6_e16_p0_3_c0	休んでいく	Rest here
MAP6_e16_p0_3_c1	休まない	Don't rest
MAP6_e17_p0_3_c0	休んでいく	Rest here
MAP6_e17_p0_3_c1	休まない	Don't rest
MAP6_e18_p0_3_c0	休んでいく	Rest here
MAP6_e18_p0_3_c1	休まない	Don't rest
MAP6_e19_p0_3_c0	休んでいく	Rest here
MAP6_e19_p0_3_c1	休まない	Don't rest
MAP6_e20_p0_3_c0	休んでいく	Rest here
MAP6_e20_p0_3_c1	休まない	Don't rest
MAP6_e39_p0_3_c0	読んでみる	Read it
MAP6_e39_p0_3_c1	読まない	Don't read it
MAP6_e40_p0_3_c0	読んでみる	Read it
MAP6_e40_p0_3_c1	読まない	Don't read it
MAP6_e46_p0_4_c0	最近どうですか	How are you these days?
MAP6_e46_p0_4_c1	用はありません	No business here
MAP6_e52_p0_3_c0	敬礼を返す	Return the salute
MAP6_e52_p0_3_c1	おじぎをする	Bow
MAP6_e53_p0_3_c0	ありがとう	Thank you
MAP6_e53_p0_3_c1	そちらこそご苦労様です	Likewise, thanks for your hard work
MAP6_e56_p0_4_c0	そうだよ	That's right
MAP6_e56_p0_4_c1	違うよ	That's wrong
MAP6_e57_p0_3_c0	読んでみる	Read it
MAP6_e57_p0_3_c1	読まない	Don't read it
MAP6_e61_p0_4_c0	疲れたー	I'm beat
MAP6_e61_p0_4_c1	元気だよ	I'm fine
MAP6_e64_p0_3_c0	調べてる	Looking into it
MAP6_e64_p0_3_c1	ぜんぜん	Not at all
MAP7_e11_p0_3_c0	読んでしまう	Read it anyway
MAP7_e11_p0_3_c1	読まない	Don't read it
MAP7_e12_p0_3_c0	読んでみる	Read it
MAP7_e12_p0_3_c1	読まない	Don't read it
MAP7_e13_p0_3_c0	読む	Read
MAP7_e13_p0_3_c1	読まない	Don't read it
MAP7_e14_p0_3_c0	読んでみる	Read it
MAP7_e14_p0_3_c1	読まない	Don't read it
MAP7_e15_p0_3_c0	読んでみる	Read it
MAP7_e15_p0_3_c1	読まない	Don't read it
MAP7_e16_p0_3_c0	読んでみる	Read it
MAP7_e16_p0_3_c1	読まない	Don't read it
MAP7_e17_p0_3_c0	読んでみる	Read it
MAP7_e17_p0_3_c1	読んでみない	I won't read it
MAP7_e22_p0_8_c0	売ってるよ	We do sell it
MAP7_e22_p0_8_c1	えっ　なんのこと	Huh? What do you mean?
MAP8_e10_p2_4_c0	元気です	I'm well
MAP8_e10_p2_4_c1	あんまり	Not much
MAP8_e18_p0_3_c0	読んでみる	Read it
MAP8_e18_p0_3_c1	読まない	Don't read it
MAP8_e19_p0_3_c0	読んでみよう	Let's read it
MAP8_e19_p0_3_c1	読まない	Don't read it
MAP8_e21_p1_4_c0	別行動なんだ	We're splitting up
MAP8_e21_p1_4_c1	わからない	I don't know
MAP8_e4_p1_7_c0	申し訳ございません	I apologize
MAP8_e4_p1_7_c1	陛下とお話させて下さい	Please let me speak with His Majesty
MAP8_e5_p0_3_c0	いい感じ	Feels good
MAP8_e5_p0_3_c1	ぼちぼち	Getting along
MAP8_e5_p2_3_c0	うん	Yeah
MAP8_e5_p2_3_c1	別行動なんだ	We're splitting up
MAP8_e5_p3_4_c0	うん	Yeah
MAP8_e5_p3_4_c1	ちがうよ	That's not it
MAP8_e6_p0_3_c0	そうだよ	That's right
MAP8_e6_p0_3_c1	ちがうよ	That's not it
MAP8_e6_p2_3_c0	そうだよ	That's right
MAP8_e6_p2_3_c1	ちがうよ	That's not it
MAP8_e6_p3_4_c0	ありがとう	Thank you
MAP8_e6_p3_4_c1	やめてよ	Stop it
MAP9_e10_p0_2_c0	読んでみる	Read it
MAP9_e10_p0_2_c1	読まない	Don't read it
MAP9_e10_p1_2_c0	読んでみる	Read it
MAP9_e10_p1_2_c1	読まない	Don't read it
MAP9_e11_p0_3_c0	読んでみる	Read it
MAP9_e11_p0_3_c1	読まない	Don't read it
MAP9_e4_p0_3_c0	泊まりたい	I'd like to stay
MAP9_e4_p0_3_c1	ちょっと寄ってみただけ	Just stopping by
MAP9_e4_p0_9_c0	泊まらせてもらいます	We'll stay then
MAP9_e4_p0_9_c1	やっぱりやめます	Actually, never mind
MAP12_e3_p0_4_c0	うん	Yeah
MAP12_e3_p0_4_c1	ダメ	No good
MAP12_e4_p0_4_c0	うん	Yeah
MAP12_e4_p0_4_c1	違うよ	That's wrong
MAP15_e10_p0_3_c0	読んでみる	Read it
MAP15_e10_p0_3_c1	読まない	Don't read it
MAP15_e11_p0_3_c0	君に会いに来たんだ	I came to see you
MAP15_e11_p0_3_c1	どうもしないよ	Nothing much
MAP15_e13_p0_3_c0	読んでみる	Read it
MAP15_e13_p0_3_c1	読まない	Don't read it
MAP15_e7_p0_3_c0	読んでみる	Read it
MAP15_e7_p0_3_c1	読まない	Don't read it
MAP15_e8_p0_3_c0	読んでみる	Read it
MAP15_e8_p0_3_c1	読まない	Don't read it
MAP15_e9_p0_3_c0	読んでみる	Read it
MAP15_e9_p0_3_c1	読まない	Don't read it
MAP17_e4_p1_4_c0	はい	Yes
MAP17_e4_p1_4_c1	いいえ	No
MAP17_e5_p1_9_c0	狂戦士のキノコです	It's a Berserker Mushroom
MAP17_e5_p1_9_c1	内緒です	It's a secret
MAP18_e3_p0_5_c0	食べます	I'll eat it
MAP18_e3_p0_5_c1	また今度来ます	I'll come again
MAP19_e11_p0_4_c0	もちろん	Of course
MAP19_e11_p0_4_c1	どうかな	I wonder
MAP19_e12_p0_4_c0	そうだよ	That's right
MAP19_e12_p0_4_c1	そうでもない	Not really
MAP19_e13_p0_3_c0	読んでみる	Read it
MAP19_e13_p0_3_c1	読まない	Don't read it
MAP19_e14_p0_3_c0	読んでみる	Read it
MAP19_e14_p0_3_c1	読まない	Don't read it
MAP19_e17_p0_3_c0	読んでみる	Read it
MAP19_e17_p0_3_c1	読まない	Don't read it
MAP19_e18_p0_3_c0	読んでみる	Read it
MAP19_e18_p0_3_c1	読まない	Don't read it
MAP19_e3_p0_16_c0	わかった	Got it
MAP19_e3_p0_16_c1	ちょっと無理かな	That might be a stretch
MAP19_e3_p0_4_c0	何か困りごとないか？	Any trouble?
MAP19_e3_p0_4_c1	ごめんなさい	I'm sorry
MAP21_e13_p3_23_c0	聞きます	I'll listen
MAP21_e13_p3_23_c1	聞きません	I won't listen
MAP21_e14_p0_3_c0	読んでみる	Read it
MAP21_e14_p0_3_c1	読まない	Don't read it
MAP21_e15_p0_3_c0	読んでみる	Read it
MAP21_e15_p0_3_c1	読まない	Don't read it
MAP22_e6_p0_19_c0	走り抜ける	Run through
MAP22_e6_p0_19_c1	慎重に進む	Proceed carefully
MAP22_e6_p0_56_c0	ありがとう	Thank you
MAP22_e6_p0_56_c1	そんなことはない	That's not true
MAP24_e3_p0_17_c0	ありがとう	Thank you
MAP24_e3_p0_17_c1	そんなことはない	That's not true
MAP26_e20_p0_8_c0	この通行手形あげます	I'll give you this permit
MAP26_e20_p0_8_c1	大変ですね	That's rough
MAP27_e1_p0_2_c0	出よう	Let's leave
MAP27_e1_p0_2_c1	探索しよう	Let's search
MAP27_e1_p1_2_c0	出よう	Let's leave
