id	japanese	translation
DB_Armors_10_description	細かな鎖を編み込んだ戦闘用の軽装鎧。軽さと斬撃への耐性\nを両立した、最も一般的な防具。少しだけ素早さがダウン。	"Light combat armor woven from fine chain. The most common armor, balancing lightness
with resistance to slashes. Slightly lowers agility."
DB_Armors_11_description	細かな鎖を編み込んだ戦闘用の軽装鎧。軽さと斬撃への耐性\nを両立した、最も一般的な防具。少しだけ素早さがダウン。	"Light combat armor woven from fine chain. The most common armor, balancing lightness
with resistance to slashes. Slightly lowers agility."
DB_Armors_12_description	細かな鎖を編み込んだ戦闘用の軽装鎧。軽さと斬撃への耐性\nを両立した、最も一般的な防具。素早さがダウン。	"Light combat armor woven from fine chain. The most common armor, balancing lightness
with resistance to slashes. Lowers agility."
DB_Armors_13_description	全身を出来る限り隙間なく金属で覆った全身鎧。大変高価で\nあると共に、その重量の為に素早さが大きくダウン。	"Full-body armor covering every inch of the body in metal. Very expensive,
and its weight greatly lowers agility."
DB_Armors_14_description	全身を出来る限り隙間なく金属で覆った全身鎧。大変高価で\nあると共に、その重量の為に素早さが大きくダウン。	"Full-body armor covering every inch of the body in metal. Very expensive,
and its weight greatly lowers agility."
DB_Armors_15_description	全身を出来る限り隙間なく金属で覆った全身鎧。大変高価で\nあると共に、その重量の為に素早さが大きくダウン。	"Full-body armor covering every inch of the body in metal. Very expensive,
and its weight greatly lowers agility."
DB_Armors_16_description	ウィンダム騎士団の騎士のみに支給される立派なマント。\n風の力が宿るというが、真偽のほどは分からない。	"A magnificent cape issued only to knights of the Windam Knight Order.
It's said to hold the power of wind, though the truth is unclear."
DB_Armors_17_description	幼い頃に急逝したというフレイム王国の王子が身に着けて\nいた腰布から作られたバンダナ。ホノオにとって兄の形見。	"A bandana made from the sash worn by the Flame Kingdom's prince, said to have died young.
To Hono, it's her brother's keepsake."
DB_Armors_18_description	大昔からセイリューに伝わり水の紋章の継承者に受け継がれ\nている伝説の着物。龍から授かったと伝わる。	"A legendary robe handed down in Seiryu since ancient times to the inheritor of the
Water Crest. Said to have been granted by a dragon."
DB_Armors_19_description	ウィンダム騎士隊長のみに支給される立派なマント。\n風の力が宿るというが、真偽のほどは分からない。	"A magnificent cape issued only to the Windam Knight Captain.
It's said to hold the power of wind, though the truth is unclear."
DB_Armors_1_description	小型で軽量の盾。敵の攻撃を受け止めるというよりも、\n受け流すためのもの。少量の防御力と、回避率が上がる。	"A small, light shield. Rather than blocking enemy attacks, it's meant to deflect them.
Slightly raises defense and evasion."
DB_Armors_20_description	小型で軽量の盾。敵の攻撃を受け止めるというよりも、\n受け流すためのもの。少量の防御力と、回避率が上がる。	"A small, light shield. Rather than blocking enemy attacks, it's meant to deflect them.
Slightly raises defense and evasion."
DB_Armors_21_description	斬撃や弓矢を完全に防ぎ重い打撃もある程度防ぐ鉄製の盾。\n防御力と少しの回避率が上がるが、素早さが下がる。	"An iron shield that fully blocks slashes and arrows, and stops heavy blows to a degree.
Raises defense and slightly raises evasion, but lowers agility."
DB_Armors_22_description	細かな鎖を編み込んだ戦闘用の軽装鎧。軽さと斬撃への耐性\nを両立した、最も一般的な防具。素早さがダウン。	"Light combat armor woven from fine chain. The most common armor, balancing lightness
with resistance to slashes. Lowers agility."
DB_Armors_23_description	全身を出来る限り隙間なく金属で覆った全身鎧。大変高価で\nあると共に、その重量の為に素早さが大きくダウン。	"Full-body armor covering every inch of the body in metal. Very expensive,
and its weight greatly lowers agility."
DB_Armors_24_description	魔法の力が宿った盾。少量の防御力と回避率、\nそして魔法ぼうぎょが大きくアップする。	"A shield imbued with magical power.
Slightly raises defense and evasion, and greatly raises magic defense."
DB_Armors_25_description	全身を出来る限り隙間なく金属で覆った全身鎧。騎士団は\n勿論、他国でも見たことのない立派で頑丈な鎧。ウィン専用	"Full-body armor covering every inch of the body in metal. A magnificent, sturdy suit
unseen even in other nations, let alone the knight orders. Win only."
DB_Armors_26_description	初代フレイム王の持ち物と伝わる、フレイムの伝説上の鎧。\n軽く動きやすいが、急所は全て守られている。ホノオ専用。	"A legendary suit of Flame armor said to have belonged to the first King Flame.
Light and easy to move in, yet every vital is protected. Hono only."
DB_Armors_27_description	見たこともない意匠の美しい鎧。華美でありながら軽く、\n堅牢な作り。素早さが少しダウン。ナガレ専用。	"A beautiful suit of armor with a design never seen before. Ornate yet light,
and stoutly built. Slightly lowers agility. Nagare only."
DB_Armors_2_description	小型で軽量の盾。敵の攻撃を受け止めるというよりも、\n受け流すためのもの。少量の防御力と、回避率が上がる。	"A small, light shield. Rather than blocking enemy attacks, it's meant to deflect them.
Slightly raises defense and evasion."
DB_Armors_3_description	小型で軽量の盾。敵の攻撃を受け止めるというよりも、\n受け流すためのもの。少量の防御力と、回避率が上がる。	"A small, light shield. Rather than blocking enemy attacks, it's meant to deflect them.
Slightly raises defense and evasion."
DB_Armors_4_description	斬撃や弓矢を完全に防ぎ重い打撃もある程度防ぐ鉄製の盾。\n防御力と少しの回避率が上がるが、素早さが下がる。	"An iron shield that fully blocks slashes and arrows, and stops heavy blows to a degree.
Raises defense and slightly raises evasion, but lowers agility."
