id	japanese	translation
MAP4_e17_note	入り口	Entrance
MAP4_e18_note	入り口	Entrance
MAP4_e1_note	入り口	Entrance
MAP4_e2_note	入り口	Entrance
MAP4_e3_note	入り口	Entrance
MAP4_e4_note	入り口	Entrance
MAP4_e5_name	ロイの家入り口	Roi's House Entrance
MAP4_e6_note	入り口	Entrance
MAP4_e7_note	入り口	Entrance
MAP4_e8_note	入り口	Entrance
MAP4_e9_note	入り口	Entrance
MAP5_e10_name	泥棒はずれ	Thief (Missed)
MAP5_e11_name	泥棒はずれ	Thief (Missed)
MAP5_e12_name	泥棒はずれ	Thief (Missed)
MAP5_e13_name	泥棒はずれ	Thief (Missed)
MAP5_e14_name	泥棒はずれ	Thief (Missed)
MAP5_e15_name	泥棒はずれ	Thief (Missed)
MAP5_e16_name	泥棒はずれ	Thief (Missed)
MAP5_e17_name	泥棒はずれ	Thief (Missed)
MAP5_e18_name	泥棒はずれ	Thief (Missed)
MAP5_e29_name	ウィンダム入り口兵	Windam Gate Soldier
MAP5_e30_name	城下町花畑	Castle Town Flower Garden
MAP5_e31_name	錬金術師の横	Beside the Alchemist
MAP5_e32_name	釣をしてるひと	Fishing Person
MAP5_e33_name	像の左	Left of the Statue
MAP5_e34_name	城下町北の巡回兵	North Castle Town Patrolman
MAP5_e5_name	泥棒はずれ	Thief (Missed)
MAP5_e6_name	泥棒はずれ	Thief (Missed)
MAP5_e7_name	泥棒はずれ	Thief (Missed)
MAP5_e8_name	泥棒はずれ	Thief (Missed)
MAP5_e9_name	泥棒はずれ	Thief (Missed)
MAP6_displayName	ウインダム城一階	Windam Castle 1F
MAP6_e10_note	入り口	Entrance
MAP6_e11_note	入り口	Entrance
MAP6_e12_note	入り口	Entrance
MAP6_e13_note	入り口	Entrance
MAP6_e14_note	入り口	Entrance
MAP6_e21_name	泥棒はずれ	Thief (Missed)
MAP6_e22_name	泥棒はずれ	Thief (Missed)
MAP6_e23_name	泥棒はずれ	Thief (Missed)
MAP6_e24_name	泥棒はずれ	Thief (Missed)
MAP6_e25_name	泥棒はずれ	Thief (Missed)
MAP6_e26_name	泥棒はずれ	Thief (Missed)
MAP6_e27_name	泥棒はずれ	Thief (Missed)
MAP6_e28_name	泥棒はずれ	Thief (Missed)
MAP6_e29_name	泥棒はずれ	Thief (Missed)
MAP6_e30_name	泥棒はずれ	Thief (Missed)
MAP6_e31_name	泥棒はずれ	Thief (Missed)
MAP6_e32_name	泥棒はずれ	Thief (Missed)
MAP6_e33_name	泥棒はずれ	Thief (Missed)
MAP6_e34_name	固いパン１個	Hard Bread x1
MAP6_e35_name	泥棒はずれ	Thief (Missed)
MAP6_e36_name	泥棒はずれ	Thief (Missed)
MAP6_e37_name	泥棒はずれ	Thief (Missed)
MAP6_e38_name	泥棒はずれ	Thief (Missed)
MAP6_e42_name	ピピンに教えてもらう	Learn from Pipin
MAP6_e43_name	ピピンに教えてもらう	Learn from Pipin
MAP6_e44_name	ピピンに教えてもらう	Learn from Pipin
MAP6_e45_name	泥棒はずれ	Thief (Missed)
MAP6_e46_name	ウィンダムの大臣	Windam Minister
MAP6_e47_name	泥棒はずれ	Thief (Missed)
MAP6_e50_name	泥棒はずれ	Thief (Missed)
MAP6_e51_name	泥棒はずれ	Thief (Missed)
MAP6_e9_note	入り口	Entrance
MAP7_displayName	ウィンダム城二階	Windam Castle 2F
MAP7_e18_name	泥棒はずれ	Thief (Missed)
MAP7_e1_note	入り口	Entrance
MAP7_e2_note	入り口	Entrance
MAP7_e3_note	入り口	Entrance
MAP7_e4_note	入り口	Entrance
MAP7_e5_note	入り口	Entrance
MAP7_e6_note	入り口	Entrance
MAP7_e7_note	入り口	Entrance
MAP7_e8_note	入り口	Entrance
MAP7_e9_note	入り口	Entrance
MAP8_displayName	ウィンダム城三階	Windam Castle 3F
MAP8_e11_name	サクソンの部屋出る	Leave Saxon's Room
MAP8_e12_name	泥棒はずれ	Thief (Missed)
MAP8_e13_name	泥棒はずれ	Thief (Missed)
MAP8_e14_name	泥棒はずれ	Thief (Missed)
MAP8_e15_name	泥棒はずれ	Thief (Missed)
MAP8_e16_name	泥棒はずれ	Thief (Missed)
MAP8_e17_name	泥棒はずれ	Thief (Missed)
MAP8_e1_note	入り口	Entrance
MAP8_e20_name	オープニング最後	Opening (Final)
MAP8_e2_note	入り口	Entrance
MAP8_e3_note	入り口	Entrance
MAP8_e5_name	玉座の護衛左	Throne Guard Left
MAP8_e6_name	玉座の護衛右	Throne Guard Right
MAP8_e8_name	王の寝室の護衛本体	King's Bedroom Guard (Main)
MAP8_e9_name	王の寝室の護衛ゆか	King's Bedroom Guard (Floor)
MAP9_e12_name	泥棒はずれ	Thief (Missed)
MAP9_e13_name	宿屋の娘	Innkeeper's Daughter
MAP9_e3_note	入り口	Entrance
MAP9_e5_name	泥棒はずれ	Thief (Missed)
MAP9_e6_name	泥棒はずれ	Thief (Missed)
MAP9_e7_name	泥棒はずれ	Thief (Missed)
MAP9_e8_name	泥棒はずれ	Thief (Missed)
MAP9_e9_name	泥棒はずれ	Thief (Missed)
MAP11_displayName	ウィンダム城バルコニー	Windam Castle Balcony
MAP11_e1_note	入り口	Entrance
MAP11_e2_note	入り口	Entrance
MAP11_e3_note	入り口	Entrance
MAP12_e3_name	パン屋父	Baker Father
MAP12_e4_name	ウィンの母	Win's Mother
MAP12_e5_name	パン屋の客1	Bakery Customer 1
MAP12_e6_name	パン屋の客2	Bakery Customer 2
MAP13_e4_name	道具屋の客	Item Shop Customer
MAP14_displayName	民家	House
MAP14_e3_name	泥棒はずれ	Thief (Missed)
MAP14_e4_name	泥棒はずれ	Thief (Missed)
MAP14_e6_name	じいさん	Old Man
MAP15_displayName	民家	House
MAP15_e11_name	ウィング	Wing
MAP15_e3_name	泥棒はずれ	Thief (Missed)
MAP15_e4_name	泥棒はずれ	Thief (Missed)
MAP15_e5_name	泥棒はずれ	Thief (Missed)
MAP15_e6_name	泥棒はずれ	Thief (Missed)
MAP16_displayName	錬金術師の店	Alchemist's Shop
MAP16_e3_name	ウィンダムの錬金術師	Windam Alchemist
MAP17_displayName	民家	House
MAP17_e10_name	泥棒はずれ	Thief (Missed)
MAP17_e11_name	泥棒はずれ	Thief (Missed)
MAP17_e12_name	泥棒はずれ	Thief (Missed)
MAP17_e13_name	泥棒はずれ	Thief (Missed)
MAP17_e15_name	泥棒はずれ	Thief (Missed)
MAP17_e4_name	ハリス	Harris
MAP17_e5_name	ハリスの奥さん	Harris's Wife
MAP17_e6_name	ハリスの娘さん	Harris's Daughter
MAP17_e7_name	泥棒はずれ	Thief (Missed)
MAP17_e8_name	泥棒はずれ	Thief (Missed)
MAP17_e9_name	泥棒はずれ	Thief (Missed)
MAP18_displayName	レストラン	Restaurant
MAP18_e12_name	泥棒はずれ	Thief (Missed)
MAP18_e13_name	泥棒はずれ	Thief (Missed)
MAP18_e14_name	泥棒はずれ	Thief (Missed)
MAP18_e15_name	泥棒はずれ	Thief (Missed)
MAP18_e16_name	泥棒はずれ	Thief (Missed)
MAP18_e3_name	レストラン主人	Restaurant Owner
MAP18_e4_name	泥棒はずれ	Thief (Missed)
MAP18_e5_name	泥棒はずれ	Thief (Missed)
MAP18_e6_name	泥棒はずれ	Thief (Missed)
MAP18_e7_name	泥棒はずれ	Thief (Missed)
MAP19_displayName	駐屯本部	Garrison HQ
MAP19_e10_name	泥棒はずれ	Thief (Missed)
MAP19_e15_name	泥棒はずれ	Thief (Missed)
MAP19_e3_name	駐屯隊長	Garrison Captain
MAP19_e4_name	泥棒はずれ	Thief (Missed)
MAP19_e5_name	泥棒はずれ	Thief (Missed)
MAP19_e6_name	泥棒はずれ	Thief (Missed)
MAP19_e7_name	泥棒はずれ	Thief (Missed)
MAP19_e8_name	泥棒はずれ	Thief (Missed)
MAP19_e9_name	泥棒はずれ	Thief (Missed)
MAP20_displayName	武器屋	Weapon Shop
MAP20_e4_name	泥棒はずれ	Thief (Missed)
MAP20_e5_name	泥棒はずれ	Thief (Missed)
MAP21_e10_name	泥棒はずれ	Thief (Missed)
MAP21_e11_name	泥棒はずれ	Thief (Missed)
MAP21_e12_name	泥棒はずれ	Thief (Missed)
MAP21_e17_name	ピピン去る	Pipin Departs
MAP21_e19_name	泥棒はずれ	Thief (Missed)
MAP21_e6_name	泥棒はずれ	Thief (Missed)
MAP21_e7_name	泥棒はずれ	Thief (Missed)
MAP21_e8_name	泥棒はずれ	Thief (Missed)
MAP21_e9_name	泥棒はずれ	Thief (Missed)
MAP22_displayName	西の監視塔　一階	West Watchtower 1F
MAP22_e1_note	入り口	Entrance
MAP22_e2_note	入り口	Entrance
MAP22_e3_note	入り口	Entrance
MAP22_e4_note	入り口	Entrance
MAP22_e5_name	固いパン１個	Hard Bread x1
MAP23_e1_note	入り口	Entrance
MAP23_e2_note	入り口	Entrance
MAP24_displayName	西の監視塔　四階	West Watchtower 4F
MAP24_e1_note	入り口	Entrance
MAP24_e2_note	入り口	Entrance
MAP24_e4_name	固いパン１個	Hard Bread x1
MAP25_e1_note	入り口	Entrance
MAP25_e2_note	入り口	Entrance
MAP25_e3_name	泥棒はずれ	Thief (Missed)
MAP26_displayName	南の関所	South Checkpoint
MAP26_e12_name	泥棒はずれ	Thief (Missed)
MAP26_e13_name	泥棒はずれ	Thief (Missed)
MAP26_e14_name	泥棒はずれ	Thief (Missed)
MAP26_e15_name	泥棒はずれ	Thief (Missed)
MAP26_e16_name	泥棒はずれ	Thief (Missed)
MAP26_e18_name	せきしょの　ひと	Checkpoint Person
MAP26_e9_name	南の関所の見張り	South Checkpoint Watchman
MAP27_displayName	西の監視塔　最上階	West Watchtower Top
MAP27_e1_note	入り口	Entrance
MAP27_e2_name	ピケピケ初見	Pikepike First Sight
MAP28_e4_name	泥棒はずれ	Thief (Missed)
MAP28_e5_name	泥棒はずれ	Thief (Missed)
MAP28_e6_name	泥棒はずれ	Thief (Missed)
MAP28_e7_name	泥棒はずれ	Thief (Missed)
MAP28_e8_name	泥棒はずれ	Thief (Missed)
MAP29_e4_name	泥棒はずれ	Thief (Missed)
MAP30_e2_note	入り口	Entrance
MAP30_e3_name	泥棒はずれ	Thief (Missed)
MAP30_e4_name	泥棒はずれ	Thief (Missed)
MAP30_e5_name	泥棒はずれ	Thief (Missed)
MAP31_e10_name	泥棒はずれ	Thief (Missed)
MAP31_e6_name	泥棒はずれ	Thief (Missed)
MAP31_e7_name	泥棒はずれ	Thief (Missed)
MAP31_e8_name	泥棒はずれ	Thief (Missed)
MAP31_e9_name	泥棒はずれ	Thief (Missed)
MAP32_e33_name	泥棒はずれ	Thief (Missed)
MAP32_e38_name	泥棒はずれ	Thief (Missed)
MAP32_e39_name	泥棒はずれ	Thief (Missed)
MAP32_e40_name	泥棒はずれ	Thief (Missed)
MAP33_e6_name	泥棒はずれ	Thief (Missed)
MAP34_e3_name	E旧坑道入り繰り	Old Mine Entrance (E)
MAP34_e4_name	旧坑道のピピン	Pipin at the Old Mine
MAP34_e5_name	キノコ事件	Mushroom Incident
MAP35_e6_name	オープニング１	Opening 1
MAP35_e8_name	泥棒はずれ	Thief (Missed)
MAP37_e11_name	サクソンの部屋出る	Leave Saxon's Room
MAP37_e12_name	泥棒はずれ	Thief (Missed)
MAP37_e13_name	泥棒はずれ	Thief (Missed)
MAP37_e14_name	泥棒はずれ	Thief (Missed)
MAP37_e15_name	泥棒はずれ	Thief (Missed)
MAP37_e16_name	泥棒はずれ	Thief (Missed)
MAP37_e17_name	泥棒はずれ	Thief (Missed)
MAP37_e1_note	入り口	Entrance
MAP37_e20_name	玉座の護衛左	Throne Guard Left
MAP37_e21_name	玉座の護衛右	Throne Guard Right
MAP37_e22_name	玉座の護衛右	Throne Guard Right
MAP37_e23_name	玉座の護衛左	Throne Guard Left
MAP37_e2_note	入り口	Entrance
MAP37_e3_note	入り口	Entrance
MAP37_e5_name	玉座の護衛左	Throne Guard Left
MAP37_e6_name	玉座の護衛右	Throne Guard Right
MAP37_e8_name	王の寝室の護衛本体	King's Bedroom Guard (Main)
MAP37_e9_name	王の寝室の護衛ゆか	King's Bedroom Guard (Floor)
MAP38_e1_note	入り口	Entrance
MAP38_e2_note	入り口	Entrance
MAP38_e3_note	入り口	Entrance
MAP39_e5_name	子供ロイ	Young Roi
MAP39_e8_name	泥棒はずれ	Thief (Missed)
MAP40_e42_name	サクソン回想	Saxon Flashback
MAP40_e43_name	ロイ西の監視塔	Roi at West Watchtower
MAP40_e44_name	伝令	Messenger
MAP40_e4_note	入り口	Entrance
MAP40_e5_name	泥棒はずれ	Thief (Missed)
MAP41_e8_name	泥棒はずれ	Thief (Missed)
MAP42_displayName	フレイムのレストラン	Flame Restaurant
MAP42_e2_note	入り口	Entrance
MAP42_e3_name	レストラン主人	Restaurant Owner
MAP42_e4_name	泥棒はずれ	Thief (Missed)
MAP42_e5_name	泥棒はずれ	Thief (Missed)
MAP43_displayName	錬金術師の店	Alchemist's Shop
MAP43_e2_note	入り口	Entrance
MAP43_e3_name	ウィンダムの錬金術師	Windam Alchemist
MAP44_displayName	フレイムの道具屋	Flame Item Shop
MAP44_e2_note	入り口	Entrance
MAP44_e5_name	泥棒はずれ	Thief (Missed)
MAP44_e6_name	泥棒はずれ	Thief (Missed)
MAP44_e7_name	泥棒はずれ	Thief (Missed)
MAP45_displayName	フレイムの宿屋	Flame Inn
MAP45_e10_name	泥棒はずれ	Thief (Missed)
MAP45_e11_name	泥棒はずれ	Thief (Missed)
MAP45_e12_name	泥棒はずれ	Thief (Missed)
MAP45_e13_name	泥棒はずれ	Thief (Missed)
MAP45_e5_note	入り口	Entrance
MAP46_displayName	フレイムの武器屋	Flame Weapon Shop
MAP46_e2_note	入り口	Entrance
MAP47_displayName	フレイムの民家	Flame House
MAP47_e3_note	入り口	Entrance
MAP47_e4_name	泥棒はずれ	Thief (Missed)
MAP47_e5_name	泥棒はずれ	Thief (Missed)
MAP47_e6_name	泥棒はずれ	Thief (Missed)
MAP47_e7_name	泥棒はずれ	Thief (Missed)
MAP47_e9_name	ガダ	Gada
MAP49_e3_note	入り口	Entrance
MAP49_e4_note	入り口	Entrance
MAP49_e5_note	入り口	Entrance
MAP49_e8_name	試練ホノオ	Hono's Trial
MAP50_e35_name	流れ	Flow
MAP50_e43_name	泥棒はずれ	Thief (Missed)
MAP50_e44_name	泥棒はずれ	Thief (Missed)
MAP50_e45_name	泥棒はずれ	Thief (Missed)
MAP50_e46_name	泥棒はずれ	Thief (Missed)
MAP50_e47_name	泥棒はずれ	Thief (Missed)
MAP50_e48_name	泥棒はずれ	Thief (Missed)
MAP50_e49_name	泥棒はずれ	Thief (Missed)
