id	japanese	translation
ACTOR_10_nickname	セイリューの若き当主	Young Head of Seiryu
ACTOR_11_nickname	セイリュー領主の一人娘	Only Daughter of Seiryu's Lord
ACTOR_14_nickname	自他ともに認める天才騎士	A Self-Proclaimed and Widely Acknowledged Genius Knight
ACTOR_15_nickname	フレイム王国の王子	Prince of the Flame Kingdom
ACTOR_16_nickname	食べるの大好き	Loves to Eat
ACTOR_17_nickname	天才と呼ばれる若き騎士	A Young Knight Called a Genius
ACTOR_18_nickname	ウィンダム騎士団長代行	Acting Commander of the Windam Knight Order
ACTOR_19_nickname	フレイム王国の国王	King of the Flame Kingdom
ACTOR_1_nickname	若き騎士	Young Knight
ACTOR_20_nickname	フレイム王国の王子	Prince of the Flame Kingdom
ACTOR_21_nickname	セイリューの前当主	Former Head of Seiryu
ACTOR_22_nickname	セイリューの長老	Elder of Seiryu
ACTOR_23_nickname	自他ともに認める天才騎士	A Self-Proclaimed and Widely Acknowledged Genius Knight
ACTOR_24_nickname	ウィンダム王国の国王	King of the Windam Kingdom
ACTOR_25_nickname	セイリュー鍛冶屋の娘	Daughter of Seiryu's Blacksmith
ACTOR_26_nickname	セイリュー農家の息子	Son of Seiryu's Farmer
ACTOR_2_nickname	フレイム王国の王子	Prince of the Flame Kingdom
ACTOR_30_nickname	炭鉱夫	Coal Miner
ACTOR_31_nickname	セイリュー領主	Lord of Seiryu
ACTOR_32_nickname	フレイム王子	Prince of Flame
ACTOR_3_nickname	セイリューの若き当主	Young Head of Seiryu
ACTOR_4_nickname	自他ともに認める天才騎士	A Self-Proclaimed and Widely Acknowledged Genius Knight
ACTOR_5_nickname	元騎士隊長	Former Knight Captain
ACTOR_6_nickname	天才と呼ばれる若き騎士	A Young Knight Called a Genius
ACTOR_7_nickname	自他ともに認める天才騎士	A Self-Proclaimed and Widely Acknowledged Genius Knight
ACTOR_9_nickname	フレイム王国の王子	Prince of the Flame Kingdom
CE4_name	奇書	Rare Tome
