id	japanese	translation
DB_Troops_102_name	サムライボス用	Samurai Boss
DB_Troops_103_name	火のサムライ, 氷のサムライ	Fire Samurai, Ice Samurai
DB_Troops_104_name	氷のサムライ, 風のサムライ	Ice Samurai, Wind Samurai
DB_Troops_105_name	髪が伸びる人形*3	Hair-Growing Doll x3
DB_Troops_106_name	ミケーネ裏	Mycenae (Rear)
DB_Troops_107_name	ナウー, ミケーネ	Nau, Mycenae
DB_Troops_109_name	操られたピピン　裏	Brainwashed Pipin (Rear)
DB_Troops_110_name	雲ガメ　ボス	Cloud Turtle, Boss
DB_Troops_111_name	雷イヌ　ボス	Thunder Dog, Boss
DB_Troops_116_name	猛毒ヘビ*3	Venomous Snake x3
DB_Troops_117_name	猛毒ヘビ*2	Venomous Snake x2
DB_Troops_11_name	人食いハチ*2	Man-eating Bee x2
DB_Troops_122_name	サヨコ, ダークフェアリー, 猛毒ヘビ	Sayoko, Dark Fairy, Venomous Snake
DB_Troops_123_name	燃え盛るヒノタマ, ダークフェアリー, 凍りついたヒノタマ	Burning Hinotama, Dark Fairy, Frozen Hinotama
DB_Troops_124_name	燃え盛るヒノタマ, 猛毒ヘビ, 凍りついたヒノタマ	Burning Hinotama, Venomous Snake, Frozen Hinotama
DB_Troops_125_name	ダークフェアリー, 燃え盛るヒノタマ, 猛毒ヘビ	Dark Fairy, Burning Hinotama, Venomous Snake
DB_Troops_126_name	ダークフェアリー, 青い巨人	Dark Fairy, Blue Giant
DB_Troops_127_name	燃え盛るヒノタマ, 青い巨人	Burning Hinotama, Blue Giant
DB_Troops_128_name	青い巨人, 凍りついたヒノタマ	Blue Giant, Frozen Hinotama
DB_Troops_12_name	人食い草*2	Man-eating Grass x2
DB_Troops_130_name	凄腕バンデッド, 凍りついたヒノタマ	Skilled Bandit, Frozen Hinotama
DB_Troops_131_name	凄腕バンデッド, 燃え盛るヒノタマ	Skilled Bandit, Burning Hinotama
DB_Troops_132_name	サヨコ, 凄腕バンデッド, 猛毒ヘビ	Sayoko, Skilled Bandit, Venomous Snake
DB_Troops_133_name	凄腕バンデッド, 青い巨人	Skilled Bandit, Blue Giant
DB_Troops_135_name	大魔道士ピケピケ　裏	Grand Mage Pikepike (Rear)
DB_Troops_136_name	ミケーネ　裏	Mycenae (Rear)
DB_Troops_137_name	ナウー　裏	Nau (Rear)
DB_Troops_138_name	魔王ダフィール一回目　裏	Demon King Dafill, First Fight (Rear)
DB_Troops_139_name	魔王ダフィール本番　裏	Demon King Dafill, The Real Thing (Rear)
DB_Troops_140_name	大魔王ダフィール　裏	Great Demon King Dafill (Rear)
DB_Troops_14_name	ナウー本番戦闘	Nau, Final Battle
DB_Troops_16_name	ナウー自動戦闘	Nau, Auto Battle
DB_Troops_18_name	デザートウルフ*2	Desert Wolf x2
DB_Troops_1_name	人食いコウモリ*3	Man-eating Bat x3
DB_Troops_22_name	アオダイショー, マムシ	Aodaisho, Mamushi
DB_Troops_23_name	ハブ, アオダイショー	Habu, Aodaisho
DB_Troops_24_name	マムシ*2	Mamushi x2
DB_Troops_25_name	ハブ, マムシ, アオダイショー	Habu, Mamushi, Aodaisho
DB_Troops_26_name	動く人形*3	Moving Doll x3
DB_Troops_2_name	人食いネズミ*2	Man-eating Rat x2
DB_Troops_31_name	動く人形*2	Moving Doll x2
DB_Troops_34_name	炎のアクマ, 風のアクマ, 氷のアクマ	Flame Fiend, Wind Fiend, Ice Fiend
DB_Troops_35_name	ミケーネ, 青龍	Mycenae, Seiryu
DB_Troops_37_name	火食い鳥*4, 火牛	Fire-Eating Bird x4, Flame Bull
DB_Troops_38_name	サチコ*3	Sachiko x3
DB_Troops_39_name	サチコ*2, 火牛	Sachiko x2, Flame Bull
DB_Troops_3_name	人食いグモ*2	Man-eating Spider x2
DB_Troops_41_name	ナウー2回目	Nau, Second Fight
DB_Troops_47_name	サチコ, 火牛	Sachiko, Flame Bull
DB_Troops_49_name	雷牛, サチコ	Thunder Bull, Sachiko
DB_Troops_4_name	人食いコウモリ*2, 人食いネズミ	Man-eating Bat x2, Man-eating Rat
DB_Troops_50_name	火食い鳥*2, 火牛	Fire-Eating Bird x2, Flame Bull
DB_Troops_51_name	火吹きイヌ*2	Fire-Breathing Dog x2
DB_Troops_52_name	火食い鳥*2, 火吹きイヌ	Fire-Eating Bird x2, Fire-Breathing Dog
DB_Troops_53_name	サチコ*3	Sachiko x3
DB_Troops_54_name	火牛, 雷牛	Flame Bull, Thunder Bull
DB_Troops_55_name	てすと	test
DB_Troops_56_name	焼き焦げた人形*2, 凍りついた人形*2	Charred Doll x2, Frozen Doll x2
DB_Troops_57_name	生えてきた目玉*2	Growing Eyeball x2
DB_Troops_58_name	生えてきた目玉*3	Growing Eyeball x3
DB_Troops_5_name	人食いコウモリ*2, 人食いグモ*2	Man-eating Bat x2, Man-eating Spider x2
DB_Troops_61_name	雷を帯びた妖精*2	Thunder Fairy x2
DB_Troops_63_name	焼き焦げた人形, セイレーン, 凍りついた人形	Charred Doll, Siren, Frozen Doll
DB_Troops_64_name	生えてきた目玉*2, 踊り狂うアクマ	Growing Eyeball x2, Dancing Fiend
DB_Troops_65_name	凍りついた人形, 火吹きイヌ, 焼き焦げた人形	Frozen Doll, Fire-Breathing Dog, Charred Doll
DB_Troops_66_name	雷を帯びた妖精*2, 踊り狂うアクマ	Thunder Fairy x2, Dancing Fiend
DB_Troops_67_name	雷を帯びた妖精*2, セイレーン	Thunder Fairy x2, Siren
DB_Troops_68_name	雷を帯びた妖精*2, 雷牛	Thunder Fairy x2, Thunder Bull
DB_Troops_69_name	凍りついた人形, セイレーン, 生えてきた目玉, 焼き焦げた人形	Frozen Doll, Siren, Growing Eyeball, Charred Doll
