id	japanese	translation
SYS_switch_1	ポーションをもらう	Received Potion
SYS_switch_10	ロイを訪ねる	Visit Roi
SYS_switch_100	不気味な洞窟	Eerie Cave
SYS_switch_101	廃墟	Ruins
SYS_switch_102	ピケピケ変身	Pikepike Transforms
SYS_switch_103	ピケピケに会う	Meet Pikepike
SYS_switch_104	出し切った	Poured It All Out
SYS_switch_105	ピＱＥ	PiQE
SYS_switch_106	ミケーネへ	To Mycenae
SYS_switch_107	いくぞ！	Let's Go!
SYS_switch_108	ブリザード	Blizzard
SYS_switch_109	しぬなよ	Don't Die
SYS_switch_11	ピケピケ消える	Pikepike Vanishes
SYS_switch_110	ミケーネにかつ	Beat Mycenae
SYS_switch_111	いっきに	All at Once
SYS_switch_112	ナウー変身	Nau Transforms
SYS_switch_113	ナウ―倒す	Defeat Nau
SYS_switch_114	ナウー死す	Nau Dies
SYS_switch_115	くっそー	Dammit
SYS_switch_117	じゃあねー	See Ya
SYS_switch_119	大魔王倒した	Great Demon King Defeated
SYS_switch_12	ピケピケと会った	Met Pikepike
SYS_switch_120	大魔王ダウン	Great Demon King Down
SYS_switch_121	ピケピケ消える	Pikepike Vanishes
SYS_switch_122	ウィンいくぞ	Win, Let's Go
SYS_switch_123	二周目開始！！	Second Playthrough Started!!
SYS_switch_124	ホムラ消える	Homura Vanishes
SYS_switch_125	ホムラおわり	Homura Done
SYS_switch_126	物干竿もらう	Got the Clothes Pole
SYS_switch_127	次元戻る	Dimensions Return
SYS_switch_128	裏ボス撃破	Hidden Boss Defeated
SYS_switch_129	伝説撃破	Legendary Defeated
SYS_switch_13	旧坑道でピピン外れる	Pipin Leaves at the Old Mine
SYS_switch_14	旧坑道クリア	Old Mine Cleared
SYS_switch_15	ピピン離脱	Pipin Departs
SYS_switch_16	キノコ解決	Mushroom Resolved
SYS_switch_17	ポーション貰う	Got Potion
SYS_switch_18	ジョセフ解決	Joseph Resolved
SYS_switch_19	ロイに会え	Go See Roi
SYS_switch_2	王様と話す	Talked to King
SYS_switch_20	ロイと話す	Talk to Roi
SYS_switch_21	ピピン歩く	Pipin Walks
