category	japanese	dialogue	proposed	notes
actor	ウィン	223		
actor	ホノオ	636		
actor	ナガレ	435		
actor	ピピン	377		
actor	ロイ	161		
actor	ウィン　テスト用	0		
actor	ナガレテスト用	0		
actor	トリカゼ	34		
actor	マハリ	29		
actor	ホノオテスト用最終	0		
actor	レイモンド	0		
actor	サクソン	57		
actor	フレイム王	70		
actor	ホムラ	0		
actor	シズク	0		
actor	オタキ	0		
actor	ウィンダム王	120		
actor	アルドン	0		
enemy	人食いコウモリ	0		
enemy	人食いネズミ	0		
enemy	人食いグモ	0		
enemy	人食いイヌ	0		
enemy	ナウー	26		
enemy	ピケピケ	130		
enemy	大魔道士ピケピケ	8		
enemy	ミケーネ	112		
enemy	蛇神ミケーネ	0		
enemy	鎧魔人ナウー	0		
enemy	闇のエレメント	0		
enemy	暗黒のエレメント	0		
enemy	人食いハチ	0		
enemy	人食い草	0		
enemy	新米バンデッド	0		
enemy	娘さん	0		
enemy	デザートウルフ	0		
enemy	マムシ	0		
enemy	ハブ	0		
enemy	アオダイショー	0		
enemy	火食い鳥	0		
enemy	火牛	0		
enemy	炎のアクマ	0		
enemy	風のアクマ	0		
enemy	氷のアクマ	0		
enemy	動く人形	0		
enemy	青龍	28		
enemy	ダフィール	85		
enemy	サチコ	0		
enemy	ひとつ目のアクマ	0		
enemy	操られたピピン	0		
enemy	雷牛	0		
enemy	火吹きイヌ	0		
enemy	セイレーン	0		
enemy	凍りついた人形	0		
enemy	焼き焦げた人形	0		
enemy	生えてきた目玉	0		
enemy	踊り狂うアクマ	0		
enemy	雷を帯びた妖精	0		
enemy	ヤバミネーション	0		
enemy	暗くかがやく龍	0		
enemy	魔王ダフィール	54		
enemy	大魔王ダフィール	28		
enemy	人食いバット	0		
enemy	人食いラット	0		
enemy	人食いスパイダー	0		
enemy	人食いドッグ	0		
enemy	狂気のジャクリーン	0		
enemy	火のサムライ	0		
enemy	風のサムライ	0		
enemy	氷のサムライ	0		
enemy	髪が伸びる人形	0		
enemy	焔牛	0		
enemy	雲ガメ	0		
enemy	雷イヌ	0		
enemy	凄腕バンデッド	0		
enemy	猛毒ヘビ	0		
enemy	サヨコ	0		
enemy	ダークフェアリー	0		
enemy	凍りついたヒノタマ	0		
enemy	燃え盛るヒノタマ	0		
enemy	青い巨人	0		
enemy	闇の王	0		
enemy	伝説のバンデッド	0		
enemy	ザイール	0		
skill	攻撃	0		
skill	防御	0		
skill	連続攻撃	0		
skill	２回攻撃	0		
skill	３回攻撃	0		
skill	逃げる	0		
skill	様子を見る	0		
skill	イヤシ	0		
skill	ファイア	0		
skill	スパーク	0		
skill	なぎ払い	0		
skill	鎧貫き	0		
skill	走り回る	0		
skill	かみつき	0		
skill	ひっかき	0		
skill	飛び回る	0		
skill	体当たり	0		
skill	毒かみつき	0		
skill	くものいと	0		
skill	足払い	0		
skill	つばめ返し	0		
skill	気合い斬り	0		
skill	毒の針	0		
skill	眠りの花粉	0		
skill	突き上げ	0		
skill	フェイント突き	0		
skill	ハヤテ	0		
skill	カマイタチ	0		
skill	足払いナウー	0		
skill	気絶攻撃	0		
skill	２回攻撃ナウ―	0		
skill	気合い斬りナウ―	0		
skill	バクハツ	0		
skill	キョウセンシ	0		
skill	兜割り	0		
skill	ソードダンス	0		
skill	火炎斬り	0		
skill	いなずま斬り	0		
skill	つらら斬り	0		
skill	ジンダイコ	0		
skill	テッペキ（適用	0		
skill	シップウ（適用	0		
skill	なぎ払い適用	0		
skill	イノチ	0		
skill	テッペキ	0		
skill	ミケーネムチ振り回し	0		
skill	ダークブリザード	0		
skill	ダークファイア	0		
skill	ダークサンダー	0		
skill	砂煙	0		
skill	ミケーネブリザード	0		
skill	青龍やっておしまい	0		
skill	イヤシ青龍	0		
skill	ミケーネ剣振り回し	0		
skill	叫び声	0		
skill	しがみつき	0		
skill	２回攻撃ナウ―2回目	0		
skill	ナウ―気絶攻撃2回目	0		
skill	足払いナウー2回目	0		
skill	ピピンの攻撃	0		
skill	回復ピピン	0		
skill	フェイント突きピピン	0		
skill	蘇生ピピン	0		
skill	外れるフェイントピピン敵	0		
skill	外れるピピン兜割り	0		
skill	必中ピピンの攻撃　敵用	0		
skill	必中フェイントピピン	0		
skill	ピピンの攻撃　敵用	0		
skill	ピピン自爆	0		
skill	シップウ	0		
skill	イカヅチ	0		
skill	ダイバクハツ	0		
skill	ツナミ	0		
skill	イヤシノアメ	0		
skill	ホノオの息	0		
skill	眠りのうたごえ	0		
skill	毒の矢	0		
skill	ダークビーム	0		
skill	マンキンタン	0		
skill	ウォークライ	0		
skill	ソードブレイカー	0		
skill	三角突き	0		
skill	旋風斬り	0		
skill	アンブッシュ	0		
skill	真・つばめ返し	0		
skill	流し斬り	0		
skill	チェーンソー	0		
skill	暗くかがやくブレス	0		
skill	ドコンジョウ	0		
skill	ダークヒール	0		
skill	ダークバリア	0		
skill	ダークウィング	0		
skill	ダークフレイム	0		
skill	ミケーネビーム	0		
skill	ミケーネムチ4回	0		
skill	ミケーネムチ2回	0		
skill	ミケーネムチ転倒	0		
skill	ミケーネバリア	0		
skill	足払いナウー最後	0		
skill	気絶攻撃ナウー最後	0		
skill	２回攻撃ナウ―最後	0		
skill	気合い斬りナウ―最後	0		
skill	突き上げナウー	0		
skill	ダフィールファイア	0		
skill	ダフィールファイアストーム	0		
skill	２回攻撃ダフィール	0		
skill	浮雲渡り	0		
skill	ベノムシャワー	0		
skill	ダフィールフレアー	0		
skill	ダークストーム	0		
skill	２回攻撃大魔王ダフィール	0		
skill	ダフィール気絶攻撃	0		
skill	カマカゼ（ウィン）	0		
skill	カマカゼ（ピピン）	0		
skill	イヅナ（ウィン）	0		
skill	イヅナ（ピピン）	0		
skill	ミカヅチ（ウィン）	0		
skill	ミカヅチ（ピピン）	0		
skill	ミケーネブリザード最大	0		
skill	２回攻撃ダフィール鎌	0		
skill	足払いダフィール	0		
skill	ツナミ敵用	0		
skill	ハヤテ適用	0		
skill	カマイタチ適用	0		
skill	イカヅチ適用	0		
skill	猛毒かみつき	0		
skill	狂戦士の舞	0		
skill	ソードブレイカー適用	0		
skill	気絶攻撃バンデッド	0		
skill	気合攻撃バンデッド	0		
skill	暗闇攻撃バンデッド	0		
skill	アンブッシュ適用	0		
skill	ハヤテ適用バンデッド	0		
skill	回復バンデッド	0		
skill	足払いバンデッド	0		
item	傷薬	0		
item	医療キット	0		
item	ヒールポーション	0		
item	万金丹	0		
item	キュアポーション	0		
item	コブラ酒	0		
item	龍の涙	0		
item	エネルギーポーション	0		
item	ショックポーション	0		
item	奇書『闇は我々の中に』	0		
item	狂戦士のキノコ	0		
item	ライスボール	0		
item	ふつうの魔物の素材	0		
item	かなりいい魔物の素材	0		
item	きちょうな魔物の素材	0		
item	さいこうの魔物の素材	0		
item	固いパン	0		
item	美味しいパン	0		
item	ちょっとした財宝	0		
item	なかなかの財宝	0		
item	かなりいい財宝	0		
item	すごい財宝	0		
item	ものすごい財宝	0		
item	南への通行手形	0		
item	ドライフルーツ	0		
item	力のエレメント	0		
item	守りのエレメント	0		
item	素早さのエレメント	0		
item	魔力のエレメント	0		
item	精神のエレメント	0		
item	いのちのエレメント	0		
item	気力のエレメント	0		
item	風のエレメント	0		
item	火のエレメント	0		
item	水のエレメント	0		
item	おにぎり	0		
item	高級医療キット	0		
item	究極の魔物の素材	0		
weapon	ショートソード	0		
weapon	ショートソード（良質）	0		
weapon	ショートソード（名品）	0		
weapon	シャムシール	0		
weapon	シャムシール（良質）	0		
weapon	シャムシール（名品）	0		
weapon	脇差	0		
weapon	脇差（業物）	0		
weapon	脇差（大業物）	0		
weapon	ダガー	0		
weapon	ダガー（良質）	0		
weapon	ダガー（名品）	0		
weapon	レイピア	0		
weapon	レイピア（良質）	0		
weapon	レイピア（名品）	0		
weapon	スピア	0		
weapon	スピア（良質）	0		
weapon	スピア（名品）	0		
weapon	バスタードソード	0		
weapon	バスタードソード（良質）	0		
weapon	バスタードソード（名品）	0		
weapon	グラディウス	0		
weapon	ゾモロドネガル	0		
weapon	にっかり青江	0		
weapon	マンゴーシュ	0		
weapon	ロイスペシャル	0		
weapon	蜻蛉斬	0		
weapon	ツヴァイハンダー	0		
weapon	ショートソード（ピピン）	0		
weapon	物干し竿	0		
weapon	ショートソード（究極）	0		
weapon	ロングソード（名品）	0		
weapon	シャムシール（匠）	0		
weapon	打刀（大業物）	0		
weapon	ダガー（匠）	0		
weapon	レイピア（匠）	0		
weapon	スピア（匠）	0		
weapon	グレートソード（名品）	0		
weapon	ロイスペシャル（本物）	0		
weapon	藤四郎	0		
weapon	ロングソード（匠）	0		
weapon	ゾモロドネガル（本物）	0		
weapon	骨喰み	0		
weapon	蜻蛉斬（本物）	0		
weapon	グレートソード（匠）	0		
weapon	青江の大太刀	0		
weapon	ウィンドスピア	0		
weapon	ムラクモ	0		
weapon	フレイムタン	0		
weapon	ドラゴンバスター	0		
weapon	藤四郎（大業物）	0		
weapon	村雨	0		
armor	バックラー	0		
armor	バックラー（良質）	0		
armor	バックラー（名品）	0		
armor	アイアンシールド	0		
armor	アイアンシールド（良質）	0		
armor	アイアンシールド（名品）	0		
armor	レザーコート	0		
armor	絹の服	0		
armor	旅装束	0		
armor	チェインメイル	0		
armor	チェインメイル（良質）	0		
armor	チェインメイル（名品）	0		
armor	プレートメイル	0		
armor	プレートメイル（良質）	0		
armor	プレートメイル（名品）	0		
armor	騎士のマント	0		
armor	ホムラのバンダナ	0		
armor	清流のマフラー	0		
armor	騎士隊長のマント	0		
armor	バックラー（匠）	0		
armor	アイアンシールド（匠）	0		
armor	チェインメイル（匠）	0		
armor	プレートメイル（匠）	0		
armor	エレメンタルシールド	0		
armor	ナイトメイル	0		
armor	狂戦士の鎧	0		
armor	サムライの甲冑	0		
state	戦闘不能	0		
state	不死身	0		
state	毒	0		
state	暗闇	0		
state	沈黙	0		
state	激昂	0		
state	混乱	0		
state	魅了	0		
state	睡眠	0		
state	猛毒	0		
state	転倒	0		
state	気絶	0		
state	魔力暴走	0		
state	反撃の構え	0		
state	ナウーの力	0		
class	新米騎士	0		
class	騎士隊長	0		
class	風の紋章の継承者	0		
class	火の紋章の継承者	0		
class	水の紋章の継承者	0		
class	火と水の紋章の継承者	0		
class	退役騎士	0		
class	セイリューの村人	0		
class	セイリューの領主	0		
class	新米の偵察兵	0		
class	風の紋章さいご	0		
class	火の紋章さいご	0		
class	水の紋章さいご	0		
class	ウィンダム王国国王	0		
class	謎の魔力を得た騎士	0		
class	謎の魔力を得た王	0		
class	謎の魔力を得たサムライ	0		
class	忍者犬	0		
class	大地の勇者	0		
map	エレメント大陸	0		
map	ウィンダム城下町	0		
map	城1F	0		
map	城2F	0		
map	城3F	0		
map	ウィンダム宿屋	0		
map	バルコニー	0		
map	パン屋	0		
map	ウィンダム道具屋	0		
map	ウィンダム民家1	0		
map	ウィンダム民家2	0		
map	ウィンダム錬金術	0		
map	ウィンダム民家3	0		
map	ウィンダムレストラン	0		
map	騎士団駐屯本部	0		
map	ウィンダム武器屋	0		
map	ロイの家	0		
map	西の監視塔一階	0		
map	西の監視塔　二階	0		
map	西の監視塔四階	0		
map	西の監視塔　三階	0		
map	フレイムへの関所	0		
map	西の監視塔最上階	0		
map	南の関所の宿屋	0		
map	南の関所の道具屋	0		
map	旅人の宿	0		
map	フレイム城下町	0		
map	フレイム城　一階	0		
map	フレイム城　二階	0		
map	南の旧坑道	0		
map	ロイの家オープニング	0		
map	オープニング	0		
map	城3Fオープニング	0		
map	バルコニーオープニング	0		
map	ロイの家　回想	0		
map	西の監視塔　回想	0		
map	ロイの家　回想2	0		
map	フレイムレストラン	0		
map	フレイム錬金術	0		
map	フレイム道具屋	0		
map	フレイム宿屋	0		
map	フレイム武器屋	0		
map	フレイム民家	0		
map	砂漠の廃墟	0		
map	南の遺跡	0		
map	セイリュー領主の村　	0		
map	セイリュー宿屋	0		
map	南の採石場	0		
map	採石場の家	0		
map	農家の家	0		
map	セイリュー当主の家	0		
map	セイリュー武器屋	0		
map	セイリュー錬金術	0		
map	龍のお社	0		
map	お社の洞窟	0		
map	龍の穴	0		
map	セイリュー領主の村 崩壊	0		
map	ウィンダム城下町　崩壊	0		
map	フレイム城　一階　崩壊	0		
map	フレイム城　二階　崩壊	0		
map	ウィンダム城　3F　崩壊	0		
map	ウィンダム城　1F　崩壊	0		
map	ウィンダム城　2F　崩壊	0		
map	バルコニー　崩壊	0		
map	光の柱	0		
map	エレメント大陸　崩壊	0		
map	フレイムへの関所　崩壊	0		
map	旅人の宿　崩壊	0		
map	南の採石場　崩壊	0		
map	採石場の家　崩壊	0		
map	騎士団駐屯本部　崩壊	0		
map	暗黒大陸への橋	0		
map	暗黒大陸警備所	0		
map	暗黒大陸の廃墟	0		
map	呪われた洞窟	0		
map	呪われた洞窟2	0		
map	呪われた洞窟2　氷	0		
map	呪われた洞窟3	0		
map	暗黒の塔	0		
map	光の柱　二回目	0		
map	光の柱ウィンダム	0		
map	光の柱フレイム	0		
map	光の柱セイリュー	0		
map	暗黒の塔　大魔王戦	0		
map	呪われた洞窟4	0		
map	暗黒大陸への橋ＥＮＤ	0		
map	セイリューＥＮＤ	0		
map	フレイムＥＮＤ	0		
map	ウィンダムEND	0		
map	光の大陸	0		
map	マーケット	0		
map	寂れた民家	0		
map	西の監視塔一階　裏	0		
map	西の監視塔　二階　裏	0		
map	西の監視塔　三階　裏	0		
map	西の監視塔四階　裏	0		
map	お社の洞窟　裏	0		
map	暗黒大陸の廃墟　裏	0		
