category	japanese	dialogue	proposed	notes
actor	ウィン	223	Win	
actor	ホノオ	636	Hono	flame
actor	ナガレ	435	Nagare	stream
actor	ピピン	377	Pipin	
actor	ロイ	161	Roi	
actor	ウィン　テスト用	0	Win (Test)	dev leftover, unused
actor	ナガレテスト用	0	Nagare (Test)	dev leftover, unused
actor	トリカゼ	34	Torikaze	
actor	マハリ	29	Mahari	
actor	ホノオテスト用最終	0	Hono (Test, Final)	dev leftover, unused
actor	レイモンド	0	Raymond	
actor	サクソン	57	Saxon	
actor	フレイム王	70	King Flame	
actor	ホムラ	0	Homura	
actor	シズク	0	Shizuku	
actor	オタキ	0	Otaki	
actor	ウィンダム王	120	King Windam	
actor	アルドン	0	Aldon	
enemy	人食いコウモリ	0	Man-eating Bat	
enemy	人食いネズミ	0	Man-eating Rat	
enemy	人食いグモ	0	Man-eating Spider	
enemy	人食いイヌ	0	Man-eating Dog	
enemy	ナウー	26	Nau	
enemy	ピケピケ	130	Pikepike	
enemy	大魔道士ピケピケ	8	Grand Mage Pikepike	
enemy	ミケーネ	112	Mycenae	
enemy	蛇神ミケーネ	0	Serpent God Mycenae	
enemy	鎧魔人ナウー	0	Armored Fiend Nau	
enemy	闇のエレメント	0	Dark Element	
enemy	暗黒のエレメント	0	Element of Darkness	
enemy	人食いハチ	0	Man-eating Bee	
enemy	人食い草	0	Man-eating Grass	
enemy	新米バンデッド	0	Rookie Bandit	
enemy	娘さん	0	The Girl	
enemy	デザートウルフ	0	Desert Wolf	
enemy	マムシ	0	Mamushi	pit viper
enemy	ハブ	0	Habu	
enemy	アオダイショー	0	Aodaisho	rat snake
enemy	火食い鳥	0	Fire-Eating Bird	
enemy	火牛	0	Flame Bull	
enemy	炎のアクマ	0	Flame Fiend	
enemy	風のアクマ	0	Wind Fiend	
enemy	氷のアクマ	0	Ice Fiend	
enemy	動く人形	0	Moving Doll	
enemy	青龍	28	Seiryu	
enemy	ダフィール	85	Dafill	
enemy	サチコ	0	Sachiko	
enemy	ひとつ目のアクマ	0	One-Eyed Fiend	
enemy	操られたピピン	0	Brainwashed Pipin	
enemy	雷牛	0	Thunder Bull	
enemy	火吹きイヌ	0	Fire-Breathing Dog	
enemy	セイレーン	0	Siren	
enemy	凍りついた人形	0	Frozen Doll	
enemy	焼き焦げた人形	0	Charred Doll	
enemy	生えてきた目玉	0	Growing Eyeball	
enemy	踊り狂うアクマ	0	Dancing Fiend	
enemy	雷を帯びた妖精	0	Thunder Fairy	
enemy	ヤバミネーション	0	Yabamination	pun on yabai
enemy	暗くかがやく龍	0	Darkly Shining Dragon	
enemy	魔王ダフィール	54	Demon King Dafill	
enemy	大魔王ダフィール	28	Great Demon King Dafill	
enemy	人食いバット	0	Man-eating Bat	
enemy	人食いラット	0	Man-eating Rat	
enemy	人食いスパイダー	0	Man-eating Spider	
enemy	人食いドッグ	0	Man-eating Dog	
enemy	狂気のジャクリーン	0	Mad Jacqueline	
enemy	火のサムライ	0	Fire Samurai	
enemy	風のサムライ	0	Wind Samurai	
enemy	氷のサムライ	0	Ice Samurai	
enemy	髪が伸びる人形	0	Hair-Growing Doll	
enemy	焔牛	0	Blaze Bull	
enemy	雲ガメ	0	Cloud Turtle	
enemy	雷イヌ	0	Thunder Dog	
enemy	凄腕バンデッド	0	Skilled Bandit	
enemy	猛毒ヘビ	0	Venomous Snake	
enemy	サヨコ	0	Sayoko	
enemy	ダークフェアリー	0	Dark Fairy	
enemy	凍りついたヒノタマ	0	Frozen Hinotama	
enemy	燃え盛るヒノタマ	0	Burning Hinotama	
enemy	青い巨人	0	Blue Giant	
enemy	闇の王	0	Dark King	
enemy	伝説のバンデッド	0	Legendary Bandit	
enemy	ザイール	0	Zaire	
skill	攻撃	0	Attack	
skill	防御	0	Guard	
skill	連続攻撃	0	Combo Attack	
skill	２回攻撃	0	Double Attack	
skill	３回攻撃	0	Triple Attack	
skill	逃げる	0	Flee	
skill	様子を見る	0	Survey	
skill	イヤシ	0	Heal	
skill	ファイア	0	Fire	
skill	スパーク	0	Spark	
skill	なぎ払い	0	Sweep	
skill	鎧貫き	0	Armor Piercer	
skill	走り回る	0	Run Amok	
skill	かみつき	0	Bite	
skill	ひっかき	0	Scratch	
skill	飛び回る	0	Flit About	
skill	体当たり	0	Body Slam	
skill	毒かみつき	0	Poison Bite	
skill	くものいと	0	Spider Web	
skill	足払い	0	Leg Sweep	
skill	つばめ返し	0	Swallow Reversal	
skill	気合い斬り	0	Spirit Slash	
skill	毒の針	0	Poison Needle	
skill	眠りの花粉	0	Sleep Pollen	
skill	突き上げ	0	Rising Thrust	
skill	フェイント突き	0	Feint Thrust	
skill	ハヤテ	0	Hayate	
skill	カマイタチ	0	Kamaitachi	
skill	足払いナウー	0	Nau Leg Sweep	
skill	気絶攻撃	0	Stun Attack	
skill	２回攻撃ナウ―	0	Nau Double Attack	
skill	気合い斬りナウ―	0	Nau Spirit Slash	
skill	バクハツ	0	Explosion	
skill	キョウセンシ	0	Warrior	
skill	兜割り	0	Helm Splitter	
skill	ソードダンス	0	Sword Dance	
skill	火炎斬り	0	Flame Slash	
skill	いなずま斬り	0	Lightning Slash	
skill	つらら斬り	0	Icicle Slash	
skill	ジンダイコ	0	Jindaiko	
skill	テッペキ（適用	0	Iron Wall (Applied)	
skill	シップウ（適用	0	Gale (Applied)	
skill	なぎ払い適用	0	Sweep (Applied)	
skill	イノチ	0	Life	
skill	テッペキ	0	Iron Wall	
skill	ミケーネムチ振り回し	0	Mycenae Whip Swing	
skill	ダークブリザード	0	Dark Blizzard	
skill	ダークファイア	0	Dark Fire	
skill	ダークサンダー	0	Dark Thunder	
skill	砂煙	0	Sand Smoke	
skill	ミケーネブリザード	0	Mycenae Blizzard	
skill	青龍やっておしまい	0	Seiryu, Finish Them	
skill	イヤシ青龍	0	Seiryu Heal	
skill	ミケーネ剣振り回し	0	Mycenae Sword Swing	
skill	叫び声	0	Battle Cry	
skill	しがみつき	0	Cling	
skill	２回攻撃ナウ―2回目	0	Nau Double Attack 2	
skill	ナウ―気絶攻撃2回目	0	Nau Stun Attack 2	
skill	足払いナウー2回目	0	Nau Leg Sweep 2	
skill	ピピンの攻撃	0	Pipin's Attack	
skill	回復ピピン	0	Pipin Heal	
skill	フェイント突きピピン	0	Pipin Feint Thrust	
skill	蘇生ピピン	0	Pipin Revive	
skill	外れるフェイントピピン敵	0	Missed Pipin Feint (Enemy)	
skill	外れるピピン兜割り	0	Missed Pipin Helm Splitter	
skill	必中ピピンの攻撃　敵用	0	Sure-Hit Pipin Attack (Enemy)	
skill	必中フェイントピピン	0	Sure-Hit Pipin Feint	
skill	ピピンの攻撃　敵用	0	Pipin's Attack (Enemy)	
skill	ピピン自爆	0	Pipin Self-Destruct	
skill	シップウ	0	Gale	
skill	イカヅチ	0	Thunderclap	
skill	ダイバクハツ	0	Great Explosion	
skill	ツナミ	0	Tsunami	
skill	イヤシノアメ	0	Healing Rain	
skill	ホノオの息	0	Breath of Hono	
skill	眠りのうたごえ	0	Sleeping Song	
skill	毒の矢	0	Poison Arrow	
skill	ダークビーム	0	Dark Beam	
skill	マンキンタン	0	Mankintan	
skill	ウォークライ	0	War Cry	
skill	ソードブレイカー	0	Sword Breaker	
skill	三角突き	0	Triangle Thrust	
skill	旋風斬り	0	Whirlwind Slash	
skill	アンブッシュ	0	Ambush	
skill	真・つばめ返し	0	True Swallow Reversal	
skill	流し斬り	0	Flowing Slash	
skill	チェーンソー	0	Chainsaw	
skill	暗くかがやくブレス	0	Darkly Shining Breath	
skill	ドコンジョウ	0	Guts	
skill	ダークヒール	0	Dark Heal	
skill	ダークバリア	0	Dark Barrier	
